(maxduration 100)

(initial_agentposition (pos-r 0) (pos-c 0) (direction south))
(TrashBasket (TB-id TB1) (pos-r 15) (pos-c 7))
(TrashBasket (TB-id TB2) (pos-r 7) (pos-c 15))
(TrashBasket (TB-id TB3) (pos-r 24) (pos-c 16))
(TrashBasket (TB-id TB4) (pos-r 16) (pos-c 24))
(RecyclableBasket (RB-id RB1) (pos-r 16) (pos-c 7))
(RecyclableBasket (RB-id RB2) (pos-r 24) (pos-c 15))
(RecyclableBasket (RB-id RB3) (pos-r 7) (pos-c 16))
(RecyclableBasket (RB-id RB4) (pos-r 15) (pos-c 24))
(FoodDispenser  (FD-id FD1) (pos-r 17) (pos-c 13))
(FoodDispenser  (FD-id FD2) (pos-r 13) (pos-c 14))
(FoodDispenser  (FD-id FD3) (pos-r 18) (pos-c 17))
(FoodDispenser  (FD-id FD4) (pos-r 14) (pos-c 18))
(DrinkDispenser  (DD-id DD1) (pos-r 14) (pos-c 13))
(DrinkDispenser  (DD-id DD2) (pos-r 18) (pos-c 14))
(DrinkDispenser  (DD-id DD3) (pos-r 13) (pos-c 17))
(DrinkDispenser  (DD-id DD4) (pos-r 17) (pos-c 18))

(prior-cell (pos-r 30) (pos-c 1) (contains Wall))
(prior-cell (pos-r 29) (pos-c 1) (contains Wall))
(prior-cell (pos-r 28) (pos-c 1) (contains Wall))
(prior-cell (pos-r 27) (pos-c 1) (contains Wall))
(prior-cell (pos-r 26) (pos-c 1) (contains Wall))
(prior-cell (pos-r 25) (pos-c 1) (contains Wall))
(prior-cell (pos-r 24) (pos-c 1) (contains Wall))
(prior-cell (pos-r 23) (pos-c 1) (contains Wall))
(prior-cell (pos-r 22) (pos-c 1) (contains Wall))
(prior-cell (pos-r 21) (pos-c 1) (contains Wall))
(prior-cell (pos-r 20) (pos-c 1) (contains Wall))
(prior-cell (pos-r 19) (pos-c 1) (contains Wall))
(prior-cell (pos-r 18) (pos-c 1) (contains Wall))
(prior-cell (pos-r 17) (pos-c 1) (contains Wall))
(prior-cell (pos-r 16) (pos-c 1) (contains Wall))
(prior-cell (pos-r 15) (pos-c 1) (contains Wall))
(prior-cell (pos-r 14) (pos-c 1) (contains Wall))
(prior-cell (pos-r 13) (pos-c 1) (contains Wall))
(prior-cell (pos-r 12) (pos-c 1) (contains Wall))
(prior-cell (pos-r 11) (pos-c 1) (contains Wall))
(prior-cell (pos-r 10) (pos-c 1) (contains Wall))
(prior-cell (pos-r 9) (pos-c 1) (contains Wall))
(prior-cell (pos-r 8) (pos-c 1) (contains Wall))
(prior-cell (pos-r 7) (pos-c 1) (contains Wall))
(prior-cell (pos-r 6) (pos-c 1) (contains Wall))
(prior-cell (pos-r 5) (pos-c 1) (contains Wall))
(prior-cell (pos-r 4) (pos-c 1) (contains Wall))
(prior-cell (pos-r 3) (pos-c 1) (contains Wall))
(prior-cell (pos-r 2) (pos-c 1) (contains Wall))
(prior-cell (pos-r 1) (pos-c 1) (contains Wall))
(prior-cell (pos-r 30) (pos-c 2) (contains Wall))
(prior-cell (pos-r 29) (pos-c 2) (contains Empty))
(prior-cell (pos-r 28) (pos-c 2) (contains Empty))
(prior-cell (pos-r 27) (pos-c 2) (contains Empty))
(prior-cell (pos-r 26) (pos-c 2) (contains Empty))
(prior-cell (pos-r 25) (pos-c 2) (contains Empty))
(prior-cell (pos-r 24) (pos-c 2) (contains Empty))
(prior-cell (pos-r 23) (pos-c 2) (contains Empty))
(prior-cell (pos-r 22) (pos-c 2) (contains Empty))
(prior-cell (pos-r 21) (pos-c 2) (contains Empty))
(prior-cell (pos-r 20) (pos-c 2) (contains Empty))
(prior-cell (pos-r 19) (pos-c 2) (contains Empty))
(prior-cell (pos-r 18) (pos-c 2) (contains Empty))
(prior-cell (pos-r 17) (pos-c 2) (contains Empty))
(prior-cell (pos-r 16) (pos-c 2) (contains Wall))
(prior-cell (pos-r 15) (pos-c 2) (contains Wall))
(prior-cell (pos-r 14) (pos-c 2) (contains Empty))
(prior-cell (pos-r 13) (pos-c 2) (contains Empty))
(prior-cell (pos-r 12) (pos-c 2) (contains Empty))
(prior-cell (pos-r 11) (pos-c 2) (contains Empty))
(prior-cell (pos-r 10) (pos-c 2) (contains Empty))
(prior-cell (pos-r 9) (pos-c 2) (contains Empty))
(prior-cell (pos-r 8) (pos-c 2) (contains Empty))
(prior-cell (pos-r 7) (pos-c 2) (contains Empty))
(prior-cell (pos-r 6) (pos-c 2) (contains Empty))
(prior-cell (pos-r 5) (pos-c 2) (contains Empty))
(prior-cell (pos-r 4) (pos-c 2) (contains Empty))
(prior-cell (pos-r 3) (pos-c 2) (contains Empty))
(prior-cell (pos-r 2) (pos-c 2) (contains Empty))
(prior-cell (pos-r 1) (pos-c 2) (contains Wall))
(prior-cell (pos-r 30) (pos-c 3) (contains Wall))
(prior-cell (pos-r 29) (pos-c 3) (contains Empty))
(prior-cell (pos-r 28) (pos-c 3) (contains Empty))
(prior-cell (pos-r 27) (pos-c 3) (contains Empty))
(prior-cell (pos-r 26) (pos-c 3) (contains Empty))
(prior-cell (pos-r 25) (pos-c 3) (contains Empty))
(prior-cell (pos-r 24) (pos-c 3) (contains Empty))
(prior-cell (pos-r 23) (pos-c 3) (contains Empty))
(prior-cell (pos-r 22) (pos-c 3) (contains Empty))
(prior-cell (pos-r 21) (pos-c 3) (contains Empty))
(prior-cell (pos-r 20) (pos-c 3) (contains Empty))
(prior-cell (pos-r 19) (pos-c 3) (contains Empty))
(prior-cell (pos-r 18) (pos-c 3) (contains Empty))
(prior-cell (pos-r 17) (pos-c 3) (contains Empty))
(prior-cell (pos-r 16) (pos-c 3) (contains Wall))
(prior-cell (pos-r 15) (pos-c 3) (contains Wall))
(prior-cell (pos-r 14) (pos-c 3) (contains Empty))
(prior-cell (pos-r 13) (pos-c 3) (contains Empty))
(prior-cell (pos-r 12) (pos-c 3) (contains Empty))
(prior-cell (pos-r 11) (pos-c 3) (contains Empty))
(prior-cell (pos-r 10) (pos-c 3) (contains Empty))
(prior-cell (pos-r 9) (pos-c 3) (contains Empty))
(prior-cell (pos-r 8) (pos-c 3) (contains Empty))
(prior-cell (pos-r 7) (pos-c 3) (contains Empty))
(prior-cell (pos-r 6) (pos-c 3) (contains Empty))
(prior-cell (pos-r 5) (pos-c 3) (contains Empty))
(prior-cell (pos-r 4) (pos-c 3) (contains Empty))
(prior-cell (pos-r 3) (pos-c 3) (contains Empty))
(prior-cell (pos-r 2) (pos-c 3) (contains Empty))
(prior-cell (pos-r 1) (pos-c 3) (contains Wall))
(prior-cell (pos-r 30) (pos-c 4) (contains Wall))
(prior-cell (pos-r 29) (pos-c 4) (contains Empty))
(prior-cell (pos-r 28) (pos-c 4) (contains Empty))
(prior-cell (pos-r 27) (pos-c 4) (contains Empty))
(prior-cell (pos-r 26) (pos-c 4) (contains Empty))
(prior-cell (pos-r 25) (pos-c 4) (contains Empty))
(prior-cell (pos-r 24) (pos-c 4) (contains Empty))
(prior-cell (pos-r 23) (pos-c 4) (contains Empty))
(prior-cell (pos-r 22) (pos-c 4) (contains Empty))
(prior-cell (pos-r 21) (pos-c 4) (contains Empty))
(prior-cell (pos-r 20) (pos-c 4) (contains Empty))
(prior-cell (pos-r 19) (pos-c 4) (contains Empty))
(prior-cell (pos-r 18) (pos-c 4) (contains Empty))
(prior-cell (pos-r 17) (pos-c 4) (contains Empty))
(prior-cell (pos-r 16) (pos-c 4) (contains Wall))
(prior-cell (pos-r 15) (pos-c 4) (contains Wall))
(prior-cell (pos-r 14) (pos-c 4) (contains Empty))
(prior-cell (pos-r 13) (pos-c 4) (contains Empty))
(prior-cell (pos-r 12) (pos-c 4) (contains Empty))
(prior-cell (pos-r 11) (pos-c 4) (contains Empty))
(prior-cell (pos-r 10) (pos-c 4) (contains Empty))
(prior-cell (pos-r 9) (pos-c 4) (contains Empty))
(prior-cell (pos-r 8) (pos-c 4) (contains Empty))
(prior-cell (pos-r 7) (pos-c 4) (contains Empty))
(prior-cell (pos-r 6) (pos-c 4) (contains Empty))
(prior-cell (pos-r 5) (pos-c 4) (contains Empty))
(prior-cell (pos-r 4) (pos-c 4) (contains Empty))
(prior-cell (pos-r 3) (pos-c 4) (contains Empty))
(prior-cell (pos-r 2) (pos-c 4) (contains Empty))
(prior-cell (pos-r 1) (pos-c 4) (contains Wall))
(prior-cell (pos-r 30) (pos-c 5) (contains Wall))
(prior-cell (pos-r 29) (pos-c 5) (contains Empty))
(prior-cell (pos-r 28) (pos-c 5) (contains Empty))
(prior-cell (pos-r 27) (pos-c 5) (contains Empty))
(prior-cell (pos-r 26) (pos-c 5) (contains Empty))
(prior-cell (pos-r 25) (pos-c 5) (contains Empty))
(prior-cell (pos-r 24) (pos-c 5) (contains Empty))
(prior-cell (pos-r 23) (pos-c 5) (contains Empty))
(prior-cell (pos-r 22) (pos-c 5) (contains Empty))
(prior-cell (pos-r 21) (pos-c 5) (contains Empty))
(prior-cell (pos-r 20) (pos-c 5) (contains Empty))
(prior-cell (pos-r 19) (pos-c 5) (contains Empty))
(prior-cell (pos-r 18) (pos-c 5) (contains Empty))
(prior-cell (pos-r 17) (pos-c 5) (contains Empty))
(prior-cell (pos-r 16) (pos-c 5) (contains Wall))
(prior-cell (pos-r 15) (pos-c 5) (contains Wall))
(prior-cell (pos-r 14) (pos-c 5) (contains Empty))
(prior-cell (pos-r 13) (pos-c 5) (contains Empty))
(prior-cell (pos-r 12) (pos-c 5) (contains Empty))
(prior-cell (pos-r 11) (pos-c 5) (contains Empty))
(prior-cell (pos-r 10) (pos-c 5) (contains Empty))
(prior-cell (pos-r 9) (pos-c 5) (contains Empty))
(prior-cell (pos-r 8) (pos-c 5) (contains Wall))
(prior-cell (pos-r 7) (pos-c 5) (contains Wall))
(prior-cell (pos-r 6) (pos-c 5) (contains Wall))
(prior-cell (pos-r 5) (pos-c 5) (contains Empty))
(prior-cell (pos-r 4) (pos-c 5) (contains Empty))
(prior-cell (pos-r 3) (pos-c 5) (contains Empty))
(prior-cell (pos-r 2) (pos-c 5) (contains Empty))
(prior-cell (pos-r 1) (pos-c 5) (contains Wall))
(prior-cell (pos-r 30) (pos-c 6) (contains Wall))
(prior-cell (pos-r 29) (pos-c 6) (contains Empty))
(prior-cell (pos-r 28) (pos-c 6) (contains Empty))
(prior-cell (pos-r 27) (pos-c 6) (contains Empty))
(prior-cell (pos-r 26) (pos-c 6) (contains Empty))
(prior-cell (pos-r 25) (pos-c 6) (contains Empty))
(prior-cell (pos-r 24) (pos-c 6) (contains Empty))
(prior-cell (pos-r 23) (pos-c 6) (contains Empty))
(prior-cell (pos-r 22) (pos-c 6) (contains Empty))
